,Project ID,Phase,Start Date,Planned_Duration,Planned_Cost,Planned_Delivrable,Project,Actual_Duration,_merge,Delay,Is_Late,Delay_Category,Start_Month,Start_Quarter,Start_Year,Planned_Intensity,Project Type,Country,Region,Type,Phase 1 - Planning,Phase 2 - Initiation,Phase 3 - Implementation,Phase 4 - Manufacturing,Phase A - Initiation,Phase B - Preparation,Phase C - Development,Phase D - Testing,Phase E - Deployment,Phase F - Post-deployment
0,1,Phase 1 - Planning,2018-01-16,196,50000,10,1,196,both,0,0,À l'heure,1,1,2018,1.5306122448979593,Marketing - Launch of new product,Equateur,North and Latin America,Affiliate,1,0,0,0,0,0,0,0,0,0
1,1,Phase 2 - Initiation,2018-01-31,15,100000,17,1,7,both,-8,0,En avance,1,1,2018,34.0,Marketing - Launch of new product,Equateur,North and Latin America,Affiliate,0,1,0,0,0,0,0,0,0,0
2,1,Phase 3 - Implementation,2018-04-17,197,150000,26,1,176,both,-21,0,En avance,4,2,2018,3.9593908629441628,Marketing - Launch of new product,Equateur,North and Latin America,Affiliate,0,0,1,0,0,0,0,0,0,0
3,1,Phase 4 - Manufacturing,2018-10-10,61,450000,23,1,64,both,3,1,Petit retard (<1mois),10,4,2018,11.311475409836065,Marketing - Launch of new product,Equateur,North and Latin America,Affiliate,0,0,0,1,0,0,0,0,0,0
4,2,Phase 1 - Planning,2018-01-30,16,100000,6,2,16,both,0,0,À l'heure,1,1,2018,11.25,Marketing - Launch of new product,France,Western Europe,Affiliate,1,0,0,0,0,0,0,0,0,0
5,2,Phase 2 - Initiation,2018-04-01,109,200000,27,2,66,both,-43,0,En avance,4,2,2018,7.431192660550459,Marketing - Launch of new product,France,Western Europe,Affiliate,0,1,0,0,0,0,0,0,0,0
6,2,Phase 3 - Implementation,2018-06-06,146,300000,18,2,73,both,-73,0,En avance,6,2,2018,3.698630136986301,Marketing - Launch of new product,France,Western Europe,Affiliate,0,0,1,0,0,0,0,0,0,0
7,2,Phase 4 - Manufacturing,2018-08-18,94,900000,20,2,148,both,54,1,Retard moyen (1-3mois),8,3,2018,6.382978723404255,Marketing - Launch of new product,France,Western Europe,Affiliate,0,0,0,1,0,0,0,0,0,0
8,3,Phase 1 - Planning,2018-03-03,91,50000,26,3,124,both,33,1,Retard moyen (1-3mois),3,1,2018,8.571428571428571,Marketing - Launch of new product,Liban,Central/Eastern Europe-Middle East-Africa,Distributor,1,0,0,0,0,0,0,0,0,0
9,3,Phase 2 - Initiation,2018-03-25,77,100000,18,3,34,both,-43,0,En avance,3,1,2018,7.012987012987013,Marketing - Launch of new product,Liban,Central/Eastern Europe-Middle East-Africa,Distributor,0,1,0,0,0,0,0,0,0,0
10,3,Phase 3 - Implementation,2018-04-28,169,150000,21,3,178,both,9,1,Petit retard (<1mois),4,2,2018,3.727810650887574,Marketing - Launch of new product,Liban,Central/Eastern Europe-Middle East-Africa,Distributor,0,0,1,0,0,0,0,0,0,0
