,Planned_Duration,Planned_Cost,Planned_Deliverables,Actual_Duration,Actual_Cost,Actual_Deliverables,Projet IT,Projet Marketing,Phase 1,Phase 2,Phase 3,Phase 4,Phase A,Phase B,Phase C,Phase D,Phase E,Phase F,Start_Month_cos,Start_Month_sin
0,16,100000,6,16,86700,6,0,1,1,0,0,0,0,0,0,0,0,0,1.0,0.0
1,109,200000,27,66,171100,23,0,1,0,1,0,0,0,0,0,0,0,0,6.123233995736766e-17,1.0
2,146,300000,18,73,269000,15,0,1,0,0,1,0,0,0,0,0,0,0,-0.8660254037844387,0.49999999999999994
3,94,900000,20,148,765800,19,0,1,0,0,0,1,0,0,0,0,0,0,-0.8660254037844388,-0.4999999999999997
4,89,50000,19,106,45500,16,0,1,1,0,0,0,0,0,0,0,0,0,0.8660254037844387,0.49999999999999994
5,192,100000,7,97,85400,7,0,1,0,1,0,0,0,0,0,0,0,0,-0.4999999999999998,0.8660254037844387
6,125,150000,26,139,128000,23,0,1,0,0,1,0,0,0,0,0,0,0,-0.5000000000000004,-0.8660254037844384
7,176,450000,22,153,412800,21,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0.0
8,139,700,26,109,900,23,1,0,0,0,0,0,1,0,0,0,0,0,0.5000000000000001,0.8660254037844386
9,157,16100,24,136,21000,21,1,0,0,0,0,0,0,1,0,0,0,0,-0.8660254037844387,0.49999999999999994
10,9,21000,23,13,24300,22,1,0,0,0,0,0,0,0,1,0,0,0,-0.8660254037844388,-0.4999999999999997
11,48,5600,25,58,18700,23,1,0,0,0,0,0,0,0,0,1,0,0,0.8660254037844384,-0.5000000000000004
12,161,115000,5,114,34800,4,1,0,0,0,0,0,0,0,0,0,1,0,0.5000000000000001,0.8660254037844386
13,26,2800,7,36,3200,7,1,0,0,0,0,0,0,0,0,0,0,1,-1.0,1.2246467991473532e-16
14,36,200,18,64,300,10,1,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
15,193,5400,10,128,6400,7,1,0,0,0,0,0,0,1,0,0,0,0,0.5000000000000001,0.8660254037844386
16,109,7000,30,125,7400,20,1,0,0,0,0,0,0,0,1,0,0,0,-0.8660254037844388,-0.4999999999999997
17,76,1900,8,53,20000,6,1,0,0,0,0,0,0,0,0,1,0,0,0.8660254037844384,-0.5000000000000004
18,92,108000,6,74,44000,4,1,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0
19,139,900,3,132,1100,2,1,0,0,0,0,0,0,0,0,0,0,1,-1.0,1.2246467991473532e-16
20,173,100000,12,135,120500,10,0,1,1,0,0,0,0,0,0,0,0,0,1.0,0.0
21,66,200000,21,52,222300,20,0,1,0,1,0,0,0,0,0,0,0,0,0.8660254037844387,0.49999999999999994
22,9,300000,10,4,362400,9,0,1,0,0,1,0,0,0,0,0,0,0,6.123233995736766e-17,1.0
23,98,900000,3,73,1002800,3,0,1,0,0,0,1,0,0,0,0,0,0,-0.8660254037844387,0.49999999999999994
24,7,50000,7,14,55100,7,0,1,1,0,0,0,0,0,0,0,0,0,0.5000000000000001,0.8660254037844386
25,80,100000,5,43,112800,4,0,1,0,1,0,0,0,0,0,0,0,0,-1.0,1.2246467991473532e-16
26,117,150000,5,116,170900,4,0,1,0,0,1,0,0,0,0,0,0,0,-0.5000000000000004,-0.8660254037844384
27,5,450000,16,3,558300,15,0,1,0,0,0,1,0,0,0,0,0,0,1.0,0.0
28,38,700,10,44,700,9,1,0,0,0,0,0,1,0,0,0,0,0,6.123233995736766e-17,1.0
29,61,16100,31,78,16200,27,1,0,0,0,0,0,0,1,0,0,0,0,-0.8660254037844387,0.49999999999999994
30,39,21000,8,70,23000,8,1,0,0,0,0,0,0,0,1,0,0,0,-1.8369701987210297e-16,-1.0
31,15,5600,20,26,26100,19,1,0,0,0,0,0,0,0,0,1,0,0,0.8660254037844384,-0.5000000000000004
32,124,80000,28,128,25800,27,1,0,0,0,0,0,0,0,0,0,1,0,0.8660254037844387,0.49999999999999994
33,111,2800,25,106,2900,24,1,0,0,0,0,0,0,0,0,0,0,1,-0.8660254037844387,0.49999999999999994
34,190,100000,30,151,99500,28,0,1,1,0,0,0,0,0,0,0,0,0,0.8660254037844387,0.49999999999999994
35,15,200000,30,26,205600,28,0,1,0,1,0,0,0,0,0,0,0,0,6.123233995736766e-17,1.0
36,162,300000,19,143,275400,19,0,1,0,0,1,0,0,0,0,0,0,0,-0.8660254037844387,0.49999999999999994
37,78,900000,19,120,850300,17,0,1,0,0,0,1,0,0,0,0,0,0,-1.8369701987210297e-16,-1.0
38,173,700,10,281,800,9,1,0,0,0,0,0,1,0,0,0,0,0,-0.4999999999999998,0.8660254037844387
39,29,16100,30,52,19100,27,1,0,0,0,0,0,0,1,0,0,0,0,-0.8660254037844387,0.49999999999999994
40,64,21000,4,69,24700,4,1,0,0,0,0,0,0,0,1,0,0,0,0.5000000000000001,-0.8660254037844386
41,173,5600,17,153,16200,14,1,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0
42,52,50000,12,79,39100,11,1,0,0,0,0,0,0,0,0,0,1,0,-0.8660254037844387,0.49999999999999994
43,184,2800,20,157,3000,17,1,0,0,0,0,0,0,0,0,0,0,1,-0.5000000000000004,-0.8660254037844384
44,4,100000,14,9,117500,14,0,1,1,0,0,0,0,0,0,0,0,0,0.8660254037844387,0.49999999999999994
45,151,200000,7,92,260100,7,0,1,0,1,0,0,0,0,0,0,0,0,-0.4999999999999998,0.8660254037844387
46,187,300000,7,129,394000,6,0,1,0,0,1,0,0,0,0,0,0,0,-0.8660254037844388,-0.4999999999999997
47,81,900000,6,50,1073400,6,0,1,0,0,0,1,0,0,0,0,0,0,0.8660254037844384,-0.5000000000000004
48,68,700,29,44,800,27,1,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0
49,161,16100,7,139,19300,6,1,0,0,0,0,0,0,1,0,0,0,0,0.8660254037844387,0.49999999999999994
50,66,21000,9,31,26000,9,1,0,0,0,0,0,0,0,1,0,0,0,-1.0,1.2246467991473532e-16
51,153,5600,7,84,17500,6,1,0,0,0,0,0,0,0,0,1,0,0,-0.8660254037844388,-0.4999999999999997
52,83,58000,26,89,24000,24,1,0,0,0,0,0,0,0,0,0,1,0,-1.8369701987210297e-16,-1.0
53,19,2800,6,12,3300,6,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0
54,55,100000,4,78,115400,4,0,1,1,0,0,0,0,0,0,0,0,0,6.123233995736766e-17,1.0
55,6,200000,13,9,216800,12,0,1,0,1,0,0,0,0,0,0,0,0,-0.8660254037844388,-0.4999999999999997
56,107,300000,17,168,345400,17,0,1,0,0,1,0,0,0,0,0,0,0,-0.8660254037844388,-0.4999999999999997
57,48,900000,11,67,995200,9,0,1,0,0,0,1,0,0,0,0,0,0,0.8660254037844387,0.49999999999999994
58,154,700,8,81,700,8,1,0,0,0,0,0,1,0,0,0,0,0,0.8660254037844387,0.49999999999999994
59,47,16100,32,56,14600,28,1,0,0,0,0,0,0,1,0,0,0,0,0.8660254037844387,0.49999999999999994
60,95,21000,4,116,18400,4,1,0,0,0,0,0,0,0,1,0,0,0,-0.4999999999999998,0.8660254037844387
61,12,5600,17,9,18000,15,1,0,0,0,0,0,0,0,0,1,0,0,-0.5000000000000004,-0.8660254037844384
62,160,33000,4,174,24300,4,1,0,0,0,0,0,0,0,0,0,1,0,0.8660254037844384,-0.5000000000000004
63,124,2800,5,153,2800,4,1,0,0,0,0,0,0,0,0,0,0,1,-0.8660254037844387,0.49999999999999994
64,157,700,13,165,700,12,1,0,0,0,0,0,1,0,0,0,0,0,-0.4999999999999998,0.8660254037844387
65,117,16100,7,125,14600,7,1,0,0,0,0,0,0,1,0,0,0,0,-1.8369701987210297e-16,-1.0
66,127,21000,13,133,20900,13,1,0,0,0,0,0,0,0,1,0,0,0,0.5000000000000001,0.8660254037844386
67,25,5600,9,29,15400,8,1,0,0,0,0,0,0,0,0,1,0,0,-0.4999999999999998,0.8660254037844387
68,65,32000,26,56,48800,24,1,0,0,0,0,0,0,0,0,0,1,0,-0.5000000000000004,-0.8660254037844384
69,200,2800,5,88,2700,4,1,0,0,0,0,0,0,0,0,0,0,1,0.5000000000000001,-0.8660254037844386
70,28,400,20,45,400,20,1,0,0,0,0,0,1,0,0,0,0,0,6.123233995736766e-17,1.0
71,49,8100,30,27,12300,29,1,0,0,0,0,0,0,1,0,0,0,0,-1.0,1.2246467991473532e-16
72,187,10500,29,145,11400,27,1,0,0,0,0,0,0,0,1,0,0,0,0.5000000000000001,-0.8660254037844386
73,93,2800,19,85,18600,18,1,0,0,0,0,0,0,0,0,1,0,0,0.8660254037844384,-0.5000000000000004
74,96,86000,19,101,29700,17,1,0,0,0,0,0,0,0,0,0,1,0,0.5000000000000001,0.8660254037844386
75,175,1400,16,102,1600,16,1,0,0,0,0,0,0,0,0,0,0,1,-0.8660254037844388,-0.4999999999999997
76,86,400,3,60,500,3,1,0,0,0,0,0,1,0,0,0,0,0,0.8660254037844387,0.49999999999999994
77,150,8100,29,206,9400,26,1,0,0,0,0,0,0,1,0,0,0,0,6.123233995736766e-17,1.0
78,125,10500,9,76,13900,8,1,0,0,0,0,0,0,0,1,0,0,0,6.123233995736766e-17,1.0
79,53,2800,6,80,14200,5,1,0,0,0,0,0,0,0,0,1,0,0,-0.8660254037844387,0.49999999999999994
80,134,47000,26,142,40800,23,1,0,0,0,0,0,0,0,0,0,1,0,-0.5000000000000004,-0.8660254037844384
81,32,1400,8,23,1800,7,1,0,0,0,0,0,0,0,0,0,0,1,0.8660254037844387,0.49999999999999994
82,40,400,28,42,400,26,1,0,0,0,0,0,1,0,0,0,0,0,0.8660254037844387,0.49999999999999994
83,116,8100,27,37,11100,25,1,0,0,0,0,0,0,1,0,0,0,0,-0.8660254037844388,-0.4999999999999997
84,147,10500,17,100,13800,14,1,0,0,0,0,0,0,0,1,0,0,0,-0.5000000000000004,-0.8660254037844384
